"Wavelength (nm)", "Reflectance"
1275.23, 0.9021
1276.78, 0.900176
1278.32, 0.898348
1279.87, 0.895799
1281.41, 0.893126
1282.96, 0.890277
1284.5, 0.887745
1286.05, 0.885013
1287.59, 0.882433
1289.13, 0.8797
1290.68, 0.877215
1292.22, 0.874584
1293.77, 0.872383
1295.31, 0.870128
1296.85, 0.867604
1298.4, 0.865322
1299.94, 0.863185
1301.48, 0.860647
1303.02, 0.857983
1304.57, 0.855311
1306.11, 0.852909
1307.65, 0.850449
1309.19, 0.848109
1310.73, 0.846053
1312.27, 0.84402
1313.81, 0.841609
1315.35, 0.839313
1316.9, 0.837371
1318.44, 0.835558
1319.98, 0.833567
1321.52, 0.831168
1323.06, 0.828452
1324.59, 0.825877
1326.13, 0.823093
1327.67, 0.820151
1329.21, 0.816709
1330.75, 0.81279
1332.29, 0.808414
1333.83, 0.803953
1335.36, 0.799467
1336.9, 0.795276
1338.44, 0.790978
1339.98, 0.786629
1341.51, 0.782352
1343.05, 0.778513
1344.59, 0.77485
1346.13, 0.771328
1347.66, 0.767827
1349.2, 0.764514
1350.73, 0.761296
1352.27, 0.758169
1353.8, 0.754897
1355.34, 0.751562
1356.88, 0.748241
1358.41, 0.744824
1359.94, 0.741318
1361.48, 0.738039
1363.01, 0.734788
1364.55, 0.731086
1366.08, 0.727211
1367.62, 0.723172
1369.15, 0.71923
1370.68, 0.715182
1372.22, 0.710971
1373.75, 0.706618
1375.28, 0.702481
1376.81, 0.698107
1378.35, 0.693525
1379.88, 0.689002
1381.41, 0.684643
1382.94, 0.679833
1384.47, 0.674957
1386, 0.669872
1387.53, 0.664951
1389.07, 0.659687
1390.6, 0.654349
1392.13, 0.648865
1393.66, 0.643632
1395.19, 0.638222
1396.72, 0.632868
1398.25, 0.62728
1399.77, 0.621976
1401.3, 0.616582
1402.83, 0.611159
1404.36, 0.605334
1405.89, 0.59995
1407.42, 0.594339
1408.95, 0.588869
1410.47, 0.58313
1412, 0.577318
1413.53, 0.571095
1415.06, 0.565009
1416.58, 0.558679
1418.11, 0.552343
1419.64, 0.545835
1421.16, 0.539973
1422.69, 0.533572
1424.22, 0.527121
1425.74, 0.52012
1427.27, 0.513276
1428.79, 0.506216
1430.32, 0.499606
1431.84, 0.492787
1433.37, 0.485873
1434.89, 0.478763
1436.42, 0.471844
1437.94, 0.464561
1439.47, 0.457297
1440.99, 0.450001
