"Wavelength (nm)", "Reflectance"
1150.89, 0.573281
1152.45, 0.600469
1154.02, 0.627758
1155.58, 0.652516
1157.14, 0.676335
1158.7, 0.697487
1160.26, 0.717206
1161.82, 0.733445
1163.39, 0.748034
1164.95, 0.760109
1166.51, 0.77162
1168.07, 0.781115
1169.63, 0.789195
1171.19, 0.796266
1172.75, 0.80318
1174.31, 0.808881
1175.87, 0.813953
1177.42, 0.817549
1178.98, 0.819867
1180.54, 0.822101
1182.1, 0.824028
1183.66, 0.824708
1185.22, 0.824505
1186.77, 0.823482
1188.33, 0.821581
1189.89, 0.819365
1191.45, 0.816691
1193, 0.81319
1194.56, 0.808986
1196.12, 0.804585
1197.67, 0.799849
1199.23, 0.794753
1200.79, 0.788974
1202.34, 0.782334
1203.9, 0.774687
1205.45, 0.766372
1207.01, 0.756707
1208.56, 0.745809
1210.12, 0.733209
1211.67, 0.719222
1213.23, 0.703696
1214.78, 0.686947
1216.33, 0.66847
1217.89, 0.64909
1219.44, 0.629492
1220.99, 0.61024
1222.55, 0.592009
1224.1, 0.576432
1225.65, 0.564828
1227.21, 0.558421
1228.76, 0.558123
1230.31, 0.564477
1231.86, 0.577155
1233.41, 0.596207
1234.96, 0.62109
1236.52, 0.6498
1238.07, 0.680515
1239.62, 0.711855
1241.17, 0.742332
1242.72, 0.771052
1244.27, 0.796888
1245.82, 0.81909
1247.37, 0.836863
1248.92, 0.851276
1250.47, 0.862834
1252.02, 0.87193
1253.57, 0.879034
1255.11, 0.884129
1256.66, 0.887488
1258.21, 0.889891
1259.76, 0.891862
1261.31, 0.89342
1262.86, 0.894746
1264.4, 0.895354
1265.95, 0.895725
1267.5, 0.894736
1269.04, 0.894084
1270.59, 0.893001
1272.14, 0.891241
1273.68, 0.889701
1275.23, 0.88832
1276.78, 0.886495
1278.32, 0.884079
1279.87, 0.880583
1281.41, 0.878166
1282.96, 0.875487
1284.5, 0.872535
1286.05, 0.869794
1287.59, 0.866703
1289.13, 0.863526
1290.68, 0.860309
1292.22, 0.857487
1293.77, 0.855892
1295.31, 0.853043
1296.85, 0.84996
1298.4, 0.847148
1299.94, 0.844305
1301.48, 0.841339
1303.02, 0.838701
1304.57, 0.835977
1306.11, 0.833376
1307.65, 0.830044
1309.19, 0.827638
1310.73, 0.825078
1312.27, 0.82251
1313.81, 0.820085
1315.35, 0.817932
1316.9, 0.815288
1318.44, 0.812893
1319.98, 0.810966
1321.52, 0.809044
1323.06, 0.806512
1324.59, 0.803972
1326.13, 0.800945
1327.67, 0.797731
1329.21, 0.793974
1330.75, 0.790098
1332.29, 0.786146
1333.83, 0.78178
1335.36, 0.777349
1336.9, 0.773269
1338.44, 0.769202
1339.98, 0.765199
1341.51, 0.76117
1343.05, 0.757589
1344.59, 0.754248
1346.13, 0.750981
1347.66, 0.747502
1349.2, 0.743787
1350.73, 0.739777
1352.27, 0.73581
1353.8, 0.731871
1355.34, 0.728252
1356.88, 0.724849
1358.41, 0.721357
1359.94, 0.717787
1361.48, 0.714343
1363.01, 0.711027
1364.55, 0.70772
1366.08, 0.70441
1367.62, 0.700842
1369.15, 0.697268
1370.68, 0.693514
1372.22, 0.689394
1373.75, 0.684686
1375.28, 0.679969
1376.81, 0.675269
1378.35, 0.670654
1379.88, 0.665805
1381.41, 0.660777
1382.94, 0.655807
1384.47, 0.65082
1386, 0.645664
1387.53, 0.640586
1389.07, 0.635363
1390.6, 0.630087
1392.13, 0.624298
1393.66, 0.618361
1395.19, 0.612262
1396.72, 0.606414
1398.25, 0.600583
1399.77, 0.594796
1401.3, 0.588825
1402.83, 0.582836
1404.36, 0.57649
1405.89, 0.570661
1407.42, 0.564963
1408.95, 0.559222
1410.47, 0.553313
1412, 0.547394
1413.53, 0.54131
1415.06, 0.535039
1416.58, 0.528502
1418.11, 0.522013
1419.64, 0.515237
1421.16, 0.508984
1422.69, 0.502448
1424.22, 0.495786
1425.74, 0.488651
1427.27, 0.481618
1428.79, 0.474563
1430.32, 0.467623
1431.84, 0.460507
1433.37, 0.453396
1434.89, 0.44609
1436.42, 0.438784
1437.94, 0.431249
1439.47, 0.423613
1440.99, 0.415925
